Brand,Device,Model,Country of Origin,Date of Release,Price (USD)
Apple,iPhone,13 Pro Max,United States,9/24/2021,1099
Samsung,Galaxy,S21 Ultra,South Korea,1/29/2021,1199
Google,Pixel,6 Pro,United States,10/19/2021,899
Sony,PlayStation,5,Japan,11/12/2020,499
Microsoft,Surface,Laptop 4,United States,4/15/2021,999
Dell,XPS,13,United States,1/28/2021,999
HP,Spectre,x360,United States,4/16/2021,1349
Lenovo,ThinkPad,X1 Carbon,China,2/15/2021,1429
Asus,ROG,Zephyrus G14,Taiwan,3/15/2021,1499
Acer,Predator,Helios 300,Taiwan,2/17/2021,1299
Apple,MacBook,Pro 14-inch,United States,10/26/2021,1999
Samsung,Odyssey,G9,South Korea,7/22/2020,1699
Google,Pixelbook,Go,United States,6/17/2021,649
Sony,Xperia,1 III,Japan,8/19/2021,1299
Microsoft,Xbox,Series X,United States,11/10/2020,499
Dell,Alienware,m15 R5,United States,4/20/2021,1999
HP,Pavilion,x360,United States,5/14/2021,749
Lenovo,IdeaPad,5 Pro,China,3/10/2021,999
Asus,ZenBook,14,Taiwan,1/15/2021,799
Acer,Swift,3,Taiwan,2/10/2021,699
Apple,iPad,Pro 12.9-inch,United States,5/21/2021,1099
Samsung,Galaxy,Tab S7+,South Korea,8/21/2020,849
Google,Nest,Hub Max,United States,3/30/2021,229
Sony,WH,1000XM4,Malaysia,8/6/2020,349
Microsoft,Surface,Pro 8,United States,10/5/2021,899
Dell,UltraSharp,U2720Q,China,12/25/2020,499
HP,Elite,Dragonfly,United States,6/28/2021,1799
Lenovo,Legion,7i,China,4/5/2021,1499
Asus,TUF,Gaming A15,Taiwan,3/20/2021,1199
Acer,Aspire,5,Taiwan,1/30/2021,599
